    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (72, 72, 70, 120, 0, 1, 3, 2010-06-06, 4.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 39, 58, 125, 1, 2, 3, 2010-06-13, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 3, 4, 126, 0, 1, 3, 2010-06-07, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 3, 4, 126, 1, 2, 3, 2010-08-21, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 127, 0, 1, 3, 2010-09-18, 3.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 127, 1, 2, 3, 2010-06-20, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 128, 0, 1, 3, 2010-09-23, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 128, 1, 2, 3, 2010-06-01, 4.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 129, 0, 1, 3, 2010-08-24, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 129, 1, 2, 3, 2010-06-09, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 3, 4, 130, 0, 1, 3, 2010-07-15, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 3, 4, 130, 1, 2, 3, 2010-06-01, 3.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 131, 0, 1, 3, 2010-09-20, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 131, 1, 2, 3, 2010-09-10, 3.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 132, 0, 1, 3, 2010-11-08, 3.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 132, 1, 2, 3, 2010-10-02, 3.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (61, 61, 58, 133, 0, 1, 3, 2010-11-23, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (61, 61, 58, 133, 1, 2, 3, 2010-05-27, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 134, 0, 1, 3, 2010-11-14, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 60, 58, 134, 1, 2, 3, 2010-11-19, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 39, 58, 135, 0, 1, 3, 2010-11-11, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 39, 58, 135, 1, 2, 3, 2010-08-30, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 136, 0, 1, 3, 2010-08-06, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 70, 4, 136, 1, 2, 3, 2010-10-31, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (72, 3, 4, 120, 0, 1, 3, 2010-09-07, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 61, 58, 121, 0, 1, 3, 2010-07-09, 4.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 71, 4, 121, 0, 1, 3, 2010-12-01, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 60, 58, 121, 0, 1, 3, 2010-12-04, 4.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 59, 58, 121, 0, 1, 3, 2010-08-31, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 59, 58, 122, 0, 1, 3, 2010-09-11, 3.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 72, 4, 122, 0, 1, 3, 2010-09-27, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 39, 58, 122, 0, 1, 3, 2010-08-18, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 61, 58, 123, 0, 1, 3, 2010-08-28, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 70, 4, 123, 0, 1, 3, 2010-07-20, 3.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 60, 58, 123, 0, 1, 3, 2010-09-07, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 72, 4, 124, 0, 1, 3, 2010-09-21, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 61, 58, 126, 0, 1, 3, 2010-10-11, 3.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 39, 58, 126, 0, 1, 3, 2010-09-22, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 59, 58, 126, 0, 1, 3, 2010-06-22, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 72, 4, 126, 0, 1, 3, 2010-06-19, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 70, 4, 126, 0, 1, 3, 2010-11-19, 3.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 3, 4, 127, 0, 1, 3, 2010-07-11, 2.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 39, 4, 127, 0, 1, 3, 2010-10-05, 0.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 59, 4, 127, 0, 1, 3, 2010-11-09, 1.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 3, 4, 129, 0, 1, 3, 2010-11-17, 2.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (70, 39, 4, 129, 0, 1, 3, 2010-09-04, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 60, 58, 130, 0, 1, 3, 2010-11-08, 2.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (3, 70, 4, 130, 0, 1, 3, 2010-06-16, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 39, 58, 131, 0, 1, 3, 2010-09-16, 2.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 61, 58, 131, 0, 1, 3, 2010-06-09, 1.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (60, 3, 58, 131, 0, 1, 3, 2010-10-10, 4.0)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (61, 60, 58, 133, 0, 1, 3, 2010-06-13, 3.5)
    INSERT INTO training( trainer_id, trainee_id, supervisor_id, department_id, job_id, initial_experience, final_experience, status, date, hours )VALUES (39, 61, 58, 135, 0, 1, 3, 2010-06-18, 1.5)

